"Date","Price","Open","High","Low","Vol.","Change %"
"06/12/2020","17.642","17.925","18.030","17.625","8.62K","-2.32%"
"06/11/2020","18.061","18.515","18.565","17.770","18.02K","0.49%"
"06/10/2020","17.973","17.950","18.585","17.865","19.50K","-0.07%"
"06/09/2020","17.986","18.160","18.180","17.895","15.58K","-0.62%"
"06/08/2020","18.098","17.695","18.170","17.685","17.90K","2.43%"
"06/05/2020","17.668","18.150","18.185","17.550","15.34K","-2.96%"
"06/04/2020","18.206","18.095","18.270","17.920","6.73K","0.64%"
"06/03/2020","18.090","18.505","18.510","17.810","6.00K","-1.62%"
"06/02/2020","18.388","18.980","19.035","18.245","9.43K","-2.97%"
"06/01/2020","18.951","18.715","19.020","18.585","7.09K","1.97%"
"05/29/2020","18.584","18.050","18.630","17.910","5.58K","2.96%"
"05/28/2020","18.050","17.855","18.180","17.775","3.71K","1.19%"
"05/27/2020","17.838","17.645","17.935","17.310","3.86K","0.93%"
"05/26/2020","17.674","17.700","18.100","17.450","5.92K","0.45%"
"05/25/2020","17.595","17.690","18.040","17.370","77.62K","-0.95%"
"05/22/2020","17.763","17.510","17.805","17.260","3.09K","1.95%"
"05/21/2020","17.424","18.100","18.100","17.315","4.02K","-3.64%"
"05/20/2020","18.082","17.915","18.200","17.815","4.10K","0.70%"
"05/19/2020","17.956","17.430","18.055","17.420","3.23K","2.43%"
"05/18/2020","17.530","17.275","18.010","17.200","3.56K","2.39%"
"05/15/2020","17.121","16.250","17.195","16.210","3.68K","5.63%"
"05/14/2020","16.209","15.820","16.275","15.715","1.21K","3.05%"
"05/13/2020","15.729","15.690","15.970","15.600","3.29K","-0.30%"
"05/12/2020","15.777","15.765","15.955","15.610","2.94K","0.15%"
"05/11/2020","15.754","15.845","15.960","15.585","2.64K","-0.51%"
"05/08/2020","15.835","15.645","16.045","15.590","3.40K","1.09%"
"05/07/2020","15.664","15.150","15.735","15.110","3.08K","3.71%"
"05/06/2020","15.103","15.205","15.480","14.935","1.39K","-0.64%"
"05/05/2020","15.201","14.915","15.255","14.850","1.73K","2.13%"
"05/04/2020","14.884","15.285","15.290","14.870","1.70K","-1.00%"
"05/01/2020","15.035","15.180","15.240","14.930","3.14K","-0.29%"
"04/30/2020","15.079","15.550","16.000","14.965","4.35K","-1.99%"
"04/29/2020","15.385","15.330","15.660","15.330","1.54K","0.37%"
"04/28/2020","15.328","15.435","15.505","15.085","31.34K","-0.08%"
"04/27/2020","15.341","15.490","15.635","15.300","19.48K","-0.67%"
"04/24/2020","15.445","15.535","15.730","15.275","18.75K","-0.52%"
"04/23/2020","15.526","15.450","15.885","15.355","17.54K","0.15%"
"04/22/2020","15.503","15.075","15.535","14.895","15.04K","3.42%"
"04/21/2020","14.991","15.675","15.710","14.715","18.39K","-4.82%"
"04/20/2020","15.750","15.425","15.805","15.325","10.76K","1.97%"
"04/17/2020","15.445","15.890","15.945","15.335","9.21K","-2.04%"
"04/16/2020","15.766","15.790","16.045","15.585","9.44K","0.72%"
"04/15/2020","15.654","16.250","16.255","15.625","10.53K","-4.20%"
"04/14/2020","16.341","15.835","16.505","15.835","19.45K","3.84%"
"04/13/2020","15.737","16.025","16.100","15.540","13.58K","-3.11%"
"04/09/2020","16.242","15.255","16.300","15.245","20.02K","6.38%"
"04/08/2020","15.268","15.340","15.480","15.180","12.74K","-1.70%"
"04/07/2020","15.532","15.325","15.950","15.275","18.28K","2.13%"
"04/06/2020","15.208","14.590","15.430","14.400","8.27K","4.72%"
"04/03/2020","14.523","14.655","14.765","14.465","4.38K","-1.11%"
"04/02/2020","14.686","14.140","14.745","14.030","5.22K","4.72%"
"04/01/2020","14.024","14.165","14.290","13.935","5.53K","-1.18%"
"03/31/2020","14.191","14.255","14.500","14.090","7.65K","0.08%"
"03/30/2020","14.179","14.730","14.745","13.995","6.31K","-2.77%"
"03/27/2020","14.583","14.630","14.800","14.365","6.94K","-0.69%"
"03/26/2020","14.685","14.765","14.975","14.395","4.26K","-1.14%"
"03/25/2020","14.855","14.450","14.905","14.235","7.29K","4.15%"
"03/24/2020","14.263","13.350","14.415","13.315","10.46K","7.14%"
"03/23/2020","13.312","12.665","13.365","12.345","6.22K","7.14%"
"03/20/2020","12.425","12.110","13.140","12.090","7.17K","2.06%"
"03/19/2020","12.174","12.025","12.355","11.830","4.23K","3.13%"
"03/18/2020","11.805","12.735","12.895","11.680","8.80K","-5.76%"
"03/17/2020","12.527","12.910","13.250","12.150","12.41K","-2.48%"
"03/16/2020","12.845","15.110","15.150","11.800","12.13K","-11.62%"
"03/13/2020","14.534","15.830","15.890","14.460","7.26K","-9.39%"
"03/12/2020","16.041","16.780","16.925","15.535","6.01K","-4.62%"
"03/11/2020","16.818","16.945","17.145","16.710","3.50K","-1.06%"
"03/10/2020","16.998","17.015","17.245","16.840","4.98K","-0.56%"
"03/09/2020","17.094","17.505","17.625","16.595","10.09K","-1.28%"
"03/06/2020","17.315","17.545","17.610","17.070","5.58K","-0.76%"
"03/05/2020","17.447","17.265","17.515","17.200","3.00K","0.82%"
"03/04/2020","17.305","17.295","17.385","17.140","4.81K","0.32%"
"03/03/2020","17.250","16.870","17.535","16.815","5.60K","2.65%"
"03/02/2020","16.804","16.555","17.105","16.545","3.50K","1.69%"
"02/28/2020","16.525","17.840","17.960","16.470","11.37K","-7.22%"
"02/27/2020","17.811","18.015","18.230","17.725","4.56K","-0.57%"
"02/26/2020","17.914","18.040","18.245","17.825","128.15K","-1.94%"
"02/25/2020","18.268","18.715","18.720","17.900","111.91K","-3.65%"
"02/24/2020","18.960","18.710","19.005","18.595","67.17K","1.86%"
"02/21/2020","18.613","18.460","18.705","18.415","48.63K","1.14%"
"02/20/2020","18.404","18.495","18.515","18.285","32.12K","0.05%"
"02/19/2020","18.395","18.235","18.530","18.215","24.76K","0.89%"
"02/18/2020","18.233","17.785","18.295","17.760","29.48K","0.46%"
"02/17/2020","18.150","17.725","18.215","17.670","129.96K","1.88%"
"02/14/2020","17.815","17.710","17.875","17.685","14.27K","0.64%"
"02/13/2020","17.701","17.545","17.795","17.535","15.14K","0.70%"
"02/12/2020","17.578","17.690","17.720","17.515","14.92K","-0.56%"
"02/11/2020","17.677","17.835","17.880","17.630","16.20K","-1.07%"
"02/10/2020","17.868","17.755","17.910","17.755","16.23K","0.53%"
"02/07/2020","17.773","17.870","17.935","17.695","13.70K","-0.70%"
"02/06/2020","17.899","17.680","17.950","17.675","3.58K","1.22%"
"02/05/2020","17.683","17.670","17.785","17.545","4.68K","0.24%"
"02/04/2020","17.641","17.760","17.835","17.590","6.73K","-0.61%"
"02/03/2020","17.750","18.165","18.200","17.665","4.76K","-1.88%"
"01/31/2020","18.091","17.930","18.165","17.850","5.15K","0.11%"
"01/30/2020","18.072","17.620","18.110","17.620","4.91K","2.87%"
"01/29/2020","17.568","17.515","17.655","17.370","2.42K","0.17%"
"01/28/2020","17.539","18.150","18.195","17.505","4.06K","-3.30%"
"01/27/2020","18.138","18.320","18.430","18.130","2.79K","-0.31%"
"01/24/2020","18.194","17.900","18.220","17.830","3.38K","1.58%"
"01/23/2020","17.911","17.980","17.985","17.680","2.46K","0.00%"
"01/22/2020","17.911","17.870","18.005","17.765","2.51K","0.11%"
"01/21/2020","17.892","18.145","18.235","17.710","3.59K","0.47%"
"01/20/2020","17.808","18.040","18.155","17.620","135.96K","-1.93%"
"01/17/2020","18.158","18.045","18.250","18.005","1.03K","0.74%"
"01/16/2020","18.024","18.100","18.125","17.960","1.59K","-0.27%"
"01/15/2020","18.072","17.885","18.135","17.835","1.38K","1.37%"
"01/14/2020","17.827","18.040","18.040","17.785","4.56K","-1.42%"
"01/13/2020","18.084","18.175","18.200","18.025","1.79K","-0.60%"
"01/10/2020","18.193","17.995","18.255","17.960","5.26K","0.93%"
"01/09/2020","18.025","18.240","18.305","17.910","2.66K","-1.27%"
"01/08/2020","18.256","18.505","18.965","18.175","3.17K","-1.21%"
"01/07/2020","18.480","18.265","18.540","18.065","1.89K","1.17%"
"01/06/2020","18.267","18.245","18.640","18.140","3.76K","0.15%"
"01/03/2020","18.240","18.155","18.395","18.135","2.60K","0.58%"
"01/02/2020","18.134","18.010","18.230","17.920","3.84K","0.69%"
"12/31/2019","18.009","18.070","18.275","17.970","3.24K","-0.44%"
